Date,Open,High,Low,Close,Adj Close,Volume
2017-10-23,23.325333,23.33,22.416668,22.468,22.468,8620.95
2017-10-24,22.586666,22.853333,22.410667,22.489332,22.489332,6737.55
2017-10-25,22.446667,22.5,21.570667,21.722668,21.722668,12891.15
2017-10-26,21.851999,22.015333,21.546667,21.744667,21.744667,7535.25
2017-10-27,21.316668,21.639334,21.110666,21.391333,21.391333,10469.55
2017-10-30,21.278667,21.585333,21.15,21.338667,21.338667,6381.6
2017-10-31,21.348667,22.129999,21.345333,22.101999,22.101999,8508.45
2017-11-01,22.15,22.174,21.350668,21.405333,21.405333,12685.95
2017-11-02,20.008667,20.579332,19.508667,19.950666,19.950666,29687.1
2017-11-03,19.966667,20.416668,19.675333,20.406,20.406,13341.0
2017-11-06,20.466667,20.5,19.934,20.185333,20.185333,9729.0
2017-11-07,20.068001,20.433332,20.002001,20.403334,20.403334,7941.45
2017-11-08,20.366667,20.459333,20.086666,20.292667,20.292667,7087.95
2017-11-09,20.166668,20.297333,19.753332,20.199333,20.199333,8170.65
2017-11-10,20.166668,20.557333,20.123333,20.199333,20.199333,6938.1
2017-11-13,20.008667,21.120001,19.940666,21.026667,21.026667,11377.35
2017-11-14,21.0,21.09,20.459999,20.58,20.58,8514.15
2017-11-15,20.400667,20.832666,20.1,20.753332,20.753332,8968.05
2017-11-16,20.932667,21.209333,20.753332,20.833332,20.833332,8733.15
2017-11-17,21.711332,21.778,20.876667,21.003332,21.003332,20602.65
2017-11-20,20.919333,21.033333,20.316668,20.582666,20.582666,12371.55
2017-11-21,20.724001,21.215334,20.580667,21.187332,21.187332,10891.95
2017-11-22,21.118,21.161333,20.789333,20.84,20.84,7376.4
2017-11-24,20.919333,21.094,20.733334,21.036667,21.036667,4866.15
2017-11-27,20.883333,21.156,20.634001,21.120667,21.120667,6833.85
2017-11-28,21.090668,21.333332,20.927999,21.17,21.17,7424.25
2017-11-29,21.153334,21.200001,20.082001,20.502666,20.502666,13151.1
2017-11-30,20.570667,20.713333,20.302668,20.59,20.59,6527.4
2017-12-01,20.362667,20.688,20.336666,20.435333,20.435333,6439.35
2017-12-04,20.433332,20.551332,20.040667,20.346666,20.346666,8752.65
2017-12-05,20.133333,20.533333,20.066668,20.246668,20.246668,6969.75
2017-12-06,20.006666,20.892668,20.0,20.884001,20.884001,10792.95
2017-12-07,20.799999,21.242001,20.736668,20.749332,20.749332,7170.9
2017-12-08,20.973333,21.132,20.750668,21.008667,21.008667,5202.75
2017-12-11,20.975332,21.934,20.916668,21.927334,21.927334,11907.0
2017-12-12,22.030001,22.762667,22.002001,22.735332,22.735332,13099.8
2017-12-13,22.728666,22.948,22.433332,22.601999,22.601999,9332.25
2017-12-14,22.733999,23.162666,22.459999,22.525999,22.525999,8699.85
2017-12-15,22.802668,22.926666,22.384001,22.896667,22.896667,10399.8
2017-12-18,22.993334,23.115334,22.505333,22.591333,22.591333,8214.3
2017-12-19,22.684,22.766001,22.02,22.073334,22.073334,10237.5
2017-12-20,22.179333,22.206667,21.669333,21.931999,21.931999,8930.7
2017-12-21,21.972668,22.249332,21.813999,22.110666,22.110666,6577.8
2017-12-22,21.967333,22.061333,21.654667,21.68,21.68,6323.7
2017-12-26,21.588667,21.596001,21.105333,21.152666,21.152666,6567.6
2017-12-27,21.066668,21.178667,20.716667,20.775999,20.775999,7068.15
2017-12-28,20.783333,21.054667,20.636,21.024,21.024,6474.45
2017-12-29,21.078667,21.094,20.666668,20.756666,20.756666,5665.8
2018-01-02,20.799999,21.474001,20.733334,21.368668,21.368668,6528.3
2018-01-03,21.4,21.683332,21.036667,21.15,21.15,6782.25
2018-01-04,20.858,21.236668,20.378668,20.974667,20.974667,14919.45
2018-01-05,21.108,21.149332,20.799999,21.105333,21.105333,6886.8
2018-01-08,21.066668,22.468,21.033333,22.427334,22.427334,14789.1
2018-01-09,22.344,22.586666,21.826668,22.246,22.246,10719.9
2018-01-10,22.146667,22.466667,22.0,22.32,22.32,6464.85
2018-01-11,22.349333,22.987333,22.217333,22.530001,22.530001,9968.25
2018-01-12,22.575333,22.694,22.244667,22.414667,22.414667,7237.65
2018-01-16,22.502666,23.0,22.32,22.670668,22.670668,9711.45
2018-01-17,22.698,23.266666,22.65,23.143999,23.143999,10655.25
2018-01-18,23.044666,23.486668,22.916,22.971333,22.971333,8528.7
2018-01-19,23.0,23.372667,22.84,23.334667,23.334667,7332.45
2018-01-22,23.293333,23.855333,23.280001,23.437332,23.437332,9315.6
2018-01-23,24.0,24.033333,23.4,23.519333,23.519333,8198.1
2018-01-24,23.638666,23.65,22.901333,23.059334,23.059334,7931.25
2018-01-25,23.218,23.280001,22.426666,22.509333,22.509333,10110.45
2018-01-26,22.766666,22.933332,22.380667,22.856667,22.856667,6809.1
2018-01-29,22.656668,23.389999,22.552,23.302,23.302,7120.65
2018-01-30,23.009333,23.218,22.811333,23.054667,23.054667,7076.55
2018-01-31,23.167334,23.746,23.012667,23.620667,23.620667,9321.15
2018-02-01,23.4,23.977333,23.242001,23.283333,23.283333,6296.55
2018-02-02,23.229334,23.463333,22.700666,22.916668,22.916668,5557.2
2018-02-05,22.531334,22.964666,22.200001,22.208668,22.208668,6696.15
2018-02-06,21.680668,22.414667,21.566668,22.264668,22.264668,7632.6
2018-02-07,22.599333,23.066668,22.377333,23.0,23.0,10453.8
2018-02-08,22.887333,23.241333,20.973333,21.015333,21.015333,15471.9
2018-02-09,21.328667,21.398666,19.650667,20.694668,20.694668,19400.55
2018-02-12,21.075333,21.205334,20.416668,21.048668,21.048668,9341.7
2018-02-13,21.001333,21.612667,20.834,21.577333,21.577333,6840.3
2018-02-14,21.389334,21.744667,21.234667,21.487333,21.487333,5926.05
2018-02-15,21.633333,22.274668,21.493334,22.271334,22.271334,8869.35
2018-02-16,22.166668,22.874666,22.109333,22.365999,22.365999,8463.9
2018-02-20,22.298,22.722668,22.1,22.318001,22.318001,6014.1
2018-02-21,22.402,22.646,22.211332,22.219999,22.219999,4829.4
2018-02-22,22.368668,23.162666,22.316668,23.077999,23.077999,10454.7
2018-02-23,23.188667,23.666,23.139999,23.469999,23.469999,8726.1
2018-02-26,23.566668,23.933332,23.490667,23.827999,23.827999,6510.0
2018-02-27,23.75,23.999332,23.334,23.399332,23.399332,7196.1
2018-02-28,23.504667,23.682667,22.814667,22.870667,22.870667,9104.55
2018-03-01,23.000668,23.244667,22.004667,22.062,22.062,10328.4
2018-03-02,21.798668,22.348,21.531334,22.341333,22.341333,7639.2
2018-03-05,22.159332,22.516666,21.952667,22.223333,22.223333,5735.7
2018-03-06,22.25,22.424667,21.802,21.879999,21.879999,6428.55
2018-03-07,21.695999,22.166668,21.449333,22.153334,22.153334,7510.95
2018-03-08,22.190666,22.219999,21.751333,21.940001,21.940001,5349.3
2018-03-09,21.606667,21.899332,21.491333,21.811333,21.811333,8260.2
2018-03-12,21.907333,23.147333,21.766666,23.034,23.034,12396.0
2018-03-13,21.907333,23.147333,21.766666,22.789333,22.789333,8948.7
2018-03-14,22.450666,22.653999,21.595333,21.775333,21.775333,11951.1
2018-03-15,21.958668,22.190001,21.406668,21.706667,21.706667,9847.2
2018-03-16,21.528667,21.826668,21.271334,21.423332,21.423332,9175.95
2018-03-19,21.1,21.383333,20.644667,20.903999,20.903999,11226.45
2018-03-20,20.991333,21.083332,20.584,20.703333,20.703333,7146.45
2018-03-21,20.683332,21.496,20.679333,21.101999,21.101999,8937.6
2018-03-22,20.926001,21.254667,20.545334,20.606667,20.606667,7409.7
2018-03-23,20.75,20.75,20.030001,20.102667,20.102667,9982.35
2018-03-26,20.489332,20.506001,19.424,20.278667,20.278667,12562.8
2018-03-27,20.266666,20.284666,18.478666,18.612,18.612,20808.0
2018-03-28,17.638666,17.912001,16.806667,17.185333,17.185333,31502.1
2018-03-29,17.099333,18.063999,16.547333,17.742001,17.742001,22756.05
2018-04-02,17.084,17.355333,16.306,16.832001,16.832001,24171.0
2018-04-03,17.988001,18.223333,16.966,17.835333,17.835333,28266.6
2018-04-04,16.851999,19.224667,16.799999,19.129333,19.129333,29845.05
2018-04-05,19.289333,20.417334,19.213333,20.381332,20.381332,28681.65
2018-04-06,20.066668,20.618668,19.700001,19.953333,19.953333,20280.45
2018-04-09,20.024668,20.633333,19.280666,19.310667,19.310667,15374.7
2018-04-10,19.931334,20.473333,19.578667,20.313334,20.313334,16484.7
2018-04-11,20.049334,20.598667,19.977333,20.062,20.062,11224.35
2018-04-12,20.154667,20.263332,19.578667,19.605333,19.605333,11413.2
2018-04-13,20.24,20.263332,19.732,20.022667,20.022667,10990.8
2018-04-16,19.933332,19.977333,19.267332,19.414,19.414,9507.75
2018-04-17,19.257999,19.478001,18.834,19.179333,19.179333,10500.0
2018-04-18,19.405333,20.016001,19.210667,19.556667,19.556667,9836.55
2018-04-19,19.405333,20.067333,19.236668,20.005333,20.005333,9135.9
2018-04-20,19.677999,19.998667,19.316668,19.349333,19.349333,8441.85
2018-04-23,19.419333,19.441334,18.822001,18.891333,18.891333,7340.1
2018-04-24,19.0,19.139334,18.563999,18.897333,18.897333,8527.95
2018-04-25,18.9,19.010668,18.483334,18.712667,18.712667,6020.4
2018-04-26,18.583332,19.052668,18.433332,19.032,19.032,6534.0
2018-04-27,19.024668,19.631332,18.922001,19.605333,19.605333,6546.9
2018-04-30,19.573999,19.915333,19.5,19.593332,19.593332,6342.3
2018-05-01,19.567333,20.054667,19.548,19.994667,19.994667,6938.4
2018-05-02,19.904667,20.456667,19.851999,20.076668,20.076668,13455.6
2018-05-03,18.586,19.202667,18.348667,18.963333,18.963333,26028.15
2018-05-04,18.866667,19.790667,18.634666,19.606001,19.606001,12854.1
2018-05-07,19.833332,20.397333,19.677999,20.184668,20.184668,13017.3
2018-05-08,20.053333,20.516666,19.933332,20.131332,20.131332,8895.0
2018-05-09,20.027332,20.467333,20.003332,20.456667,20.456667,8591.1
2018-05-10,20.5,20.865999,20.274,20.334667,20.334667,8477.4
2018-05-11,20.513332,20.591999,19.938667,20.070667,20.070667,7019.4
2018-05-14,20.221333,20.329332,19.441334,19.464666,19.464666,10930.2
2018-05-15,19.000668,19.130667,18.700001,18.945333,18.945333,14278.8
2018-05-16,18.922001,19.254,18.770666,19.098667,19.098667,8511.0
2018-05-17,19.059999,19.279333,18.931334,18.969334,18.969334,6630.9
2018-05-18,18.976667,18.976667,18.266666,18.454666,18.454666,10877.85
2018-05-21,18.755333,19.432667,18.753332,18.966,18.966,13773.9
2018-05-22,19.184,19.200001,18.228001,18.334,18.334,13418.7
2018-05-23,18.517332,18.660667,18.266666,18.604668,18.604668,8977.65
2018-05-24,18.559999,18.740667,18.326,18.523333,18.523333,6265.05
2018-05-25,18.508667,18.642668,18.374001,18.59,18.59,5812.65
2018-05-29,18.567333,19.1,18.41,18.917334,18.917334,8499.9
2018-05-30,18.886,19.667334,18.773333,19.448,19.448,11234.55
2018-05-31,19.147333,19.358,18.862,18.982,18.982,8879.55
